source,comments,timestamp,text_clean,text_refined,text_for_lda,text_for_bertopic
maps,"Ngurus surat pindah aja ribet banget. Padahal tinggal ke kecamatan asem Rowo saja, tempat saya akan pindah. Malah di suruh online. Udah coba online dan masukin NIK ku sebagai pengurus, eh malah NIK ku TDK terdaftar. Coba pakai NIK nya adik …",,ngurus surat pindah aja ribet banget padahal tinggal ke kecamatan asem rowo saja tempat saya akan pindah malah di suruh online udah coba online dan masukin nik ku sebagai pengurus eh malah nik ku tdk terdaftar coba pakai nik nya adik,ngurus surat pindah aja ribet banget padahal tinggal ke kecamatan asem rowo saja tempat saya akan pindah malah di suruh online udah coba online dan masukin nik ku sebagai pengurus eh malah nik ku tidak terdaftar coba pakai nik nya adik,ngurus surat pindah ribet tinggal kecamatan asem rowo pindah suruh online coba online masukin nik ku pengurus eh nik ku tidak terdaftar coba pakai nik adik,ngurus surat pindah aja ribet banget padahal tinggal ke kecamatan asem rowo saja tempat saya akan pindah malah di suruh online udah coba online dan masukin nik ku sebagai pengurus eh malah nik ku tidak terdaftar coba pakai nik nya adik
maps,pelayanan yang memuaskan,,pelayanan yang memuaskan,pelayanan yang memuaskan,pelayanan memuaskan,pelayanan yang memuaskan
maps,Pelayanan ramah cepat,,pelayanan ramah cepat,pelayanan ramah cepat,pelayanan ramah cepat,pelayanan ramah cepat
maps,"Apakah mengurus akta kelahiran yg telat sampai 5 tahun ada dendanya kira""berapa",,apakah mengurus akta kelahiran yg telat sampai tahun ada dendanya kira berapa,apakah mengurus akta_kelahiran yang telat sampai tahun ada dendanya kira berapa,mengurus akta_kelahiran telat dendanya,apakah mengurus akta_kelahiran yang telat sampai tahun ada dendanya kira berapa
maps,"Malam kak mau tanya,
Kalau mau ganti foto KTP apakah bisa disini?
Mohon tanggapannya🙏🏻🙏🏻 …",,malam kak mau tanya kalau mau ganti foto ktp apakah bisa disini mohon tanggapannya,malam kak mau tanya kalau mau ganti foto ktp apakah bisa disini mohon tanggapannya,ganti foto ktp tanggapannya,mau kalau mau ganti foto ktp apakah bisa disini tanggapannya
maps,Persyaratan cetak ulang ktp hilang apa aja kak,,persyaratan cetak ulang ktp hilang apa aja kak,persyaratan cetak_ulang ktp hilang apa aja kak,persyaratan cetak_ulang ktp hilang,persyaratan cetak_ulang ktp hilang apa aja
maps,"Percuma ada call centre. Kita bertanya malah marah2 dan telpon dimatikan. Bertanya pada call centre disuruh WA petugas. Petugas di WA bilang sudah ga menangani, disuruh telpon call centre. Call centre di telpon balik malah marah2 dan …",,percuma ada call centre kita bertanya malah marah dan telpon dimatikan bertanya pada call centre disuruh wa petugas petugas di wa bilang sudah ga menangani disuruh telpon call centre call centre di telpon balik malah marah dan,percuma ada call centre kita bertanya malah marah dan telpon dimatikan bertanya pada call centre disuruh whatsapp petugas petugas di whatsapp bilang sudah tidak menangani disuruh telpon call centre call centre di telpon balik malah marah dan,call centre marah telpon dimatikan call centre disuruh whatsapp petugas petugas whatsapp bilang tidak menangani disuruh telpon call centre call centre telpon marah,percuma ada call centre kita bertanya malah marah dan telpon dimatikan bertanya pada call centre disuruh whatsapp petugas petugas di whatsapp bilang sudah tidak menangani disuruh telpon call centre call centre di telpon balik malah marah dan
maps,"Jauh jauh mau cetak KK ternyata mesin ADM mati, petugas yang ditanyai terlanjur cuek dan tidak ada solusi...",,jauh jauh mau cetak kk ternyata mesin adm mati petugas yang ditanyai terlanjur cuek dan tidak ada solusi,jauh jauh mau cetak kartu keluarga ternyata mesin adm mati petugas yang ditanyai terlanjur cuek dan tidak ada solusi,cetak kartu keluarga mesin adm mati petugas terlanjur cuek tidak solusi,jauh jauh mau cetak kartu keluarga ternyata mesin adm mati petugas yang ditanyai terlanjur cuek dan tidak ada solusi
maps,"Validasi KK... gak bisa karena virus. Harus on line... fia wa chat gak di baca,, apalagi di tanggapi. Padahal wa nya lagi on line.... Sampai 24 jam... fia telpon gak di angkat... urgen bosss buat buka rekening pelunasan haji,, batas waktu tinggal 10 hr..😭😭😭 …",,validasi kk gak bisa karena virus harus on line fia wa chat gak di baca apalagi di tanggapi padahal wa nya lagi on line sampai jam fia telpon gak di angkat urgen bosss buat buka rekening pelunasan haji batas waktu tinggal hr,validasi kartu keluarga tidak bisa karena virus harus on line fia whatsapp chat tidak di baca apalagi di tanggapi padahal whatsapp nya lagi on line sampai jam fia telpon tidak di angkat urgen bosss buat buka rekening pelunasan haji batas waktu tinggal hr,validasi kartu keluarga tidak virus on line fia whatsapp chat tidak baca tanggapi whatsapp on line jam fia telpon tidak angkat urgen bosss buka rekening pelunasan haji batas tinggal hr,validasi kartu keluarga tidak bisa karena virus harus on line fia whatsapp chat tidak di baca apalagi di tanggapi padahal whatsapp nya lagi on line sampai jam fia telpon tidak di angkat urgen bosss buat buka rekening pelunasan haji batas waktu tinggal hr
maps,"Ini sy pengajuan pengurusan akte tp utk panduan lewat tlp sama petugas susah bnget,nyambung sih berdering tp gk ada yg angkat tlp uda ada 6x sy tlp gk ada yg angkat..,klu bgini kan susah klu gk dipandu krn lwat online krn utk pengecekan datanya sdh benar ato ada yg kurang kan gk taw..",,ini sy pengajuan pengurusan akte tp utk panduan lewat tlp sama petugas susah bnget nyambung sih berdering tp gk ada yg angkat tlp uda ada x sy tlp gk ada yg angkat klu bgini kan susah klu gk dipandu krn lwat online krn utk pengecekan datanya sdh benar ato ada yg kurang kan gk taw,ini sy pengajuan pengurusan akte tp untuk panduan lewat tlp sama petugas susah bnget nyambung sih berdering tp gk ada yang angkat tlp uda ada x sy tlp gk ada yang angkat klu bgini kan susah klu gk dipandu karena lwat online karena untuk pengecekan datanya sudah benar ato ada yang kurang kan gk taw,sy pengajuan pengurusan akte tp panduan tlp petugas susah bnget nyambung berdering tp gk angkat tlp uda x sy tlp gk angkat klu bgini susah klu gk dipandu lwat online pengecekan datanya ato kurang gk taw,ini sy pengajuan pengurusan akte tp untuk panduan lewat tlp sama petugas susah bnget nyambung sih berdering tp gk ada yang angkat tlp uda ada x sy tlp gk ada yang angkat klu bgini kan susah klu gk dipandu karena lwat online karena untuk pengecekan datanya sudah benar ato ada yang kurang kan gk taw
maps,"Saran saya,kalo bisa pagi kesini cepet banget deh ngurusnya..pelayanan juga prima didukung dengan loket informasi yg sangat informatif dan ramah. Terima kasih :)",,saran saya kalo bisa pagi kesini cepet banget deh ngurusnya pelayanan juga prima didukung dengan loket informasi yg sangat informatif dan ramah terima kasih,saran saya kalo bisa pagi kesini cepet banget deh ngurusnya pelayanan juga prima didukung dengan loket informasi yang sangat informatif dan ramah terima kasih,saran kalo kesini cepet deh ngurusnya pelayanan prima didukung loket informasi informatif ramah,saran saya kalo bisa kesini cepet banget deh ngurusnya pelayanan juga prima didukung dengan loket informasi yang sangat informatif dan ramah
